Strategy,Path,TransactionCost
Black-Scholes Delta,0,0.30924449277744603
Black-Scholes Delta,1,0.39738759600739204
Black-Scholes Delta,2,0.5620873530873689
Black-Scholes Delta,3,0.3941270747301661
Black-Scholes Delta,4,0.5218538853408753
Black-Scholes Delta,5,0.6366311926941549
Black-Scholes Delta,6,0.5142779563349484
Black-Scholes Delta,7,0.5545014771051143
Black-Scholes Delta,8,0.413422988114525
Black-Scholes Delta,9,0.28387925615247434
Black-Scholes Delta,10,0.33323725200192417
Black-Scholes Delta,11,0.5614761914378593
Black-Scholes Delta,12,0.4439875556865673
Black-Scholes Delta,13,0.3666919370578489
Black-Scholes Delta,14,0.41680593390787557
Black-Scholes Delta,15,0.4494154214292267
Black-Scholes Delta,16,0.35688915607364374
Black-Scholes Delta,17,0.5893501799886931
Black-Scholes Delta,18,0.4952819003229721
Black-Scholes Delta,19,0.35124684883684965
No Hedge,0,0.0
No Hedge,1,0.0
No Hedge,2,0.0
No Hedge,3,0.0
No Hedge,4,0.0
No Hedge,5,0.0
No Hedge,6,0.0
No Hedge,7,0.0
No Hedge,8,0.0
No Hedge,9,0.0
No Hedge,10,0.0
No Hedge,11,0.0
No Hedge,12,0.0
No Hedge,13,0.0
No Hedge,14,0.0
No Hedge,15,0.0
No Hedge,16,0.0
No Hedge,17,0.0
No Hedge,18,0.0
No Hedge,19,0.0
Full Hedge,0,0.09973549463103117
Full Hedge,1,0.10046289236357485
Full Hedge,2,0.10189154348356785
Full Hedge,3,0.09936099603180387
Full Hedge,4,0.09899834884434061
Full Hedge,5,0.09938166988434928
Full Hedge,6,0.1011720179592686
Full Hedge,7,0.10042700129191011
Full Hedge,8,0.09934661355414345
Full Hedge,9,0.10066073422556666
Full Hedge,10,0.10013430108107715
Full Hedge,11,0.10123990662735714
Full Hedge,12,0.09913119709852455
Full Hedge,13,0.09959989183423869
Full Hedge,14,0.0995190551849155
Full Hedge,15,0.0981847274585747
Full Hedge,16,0.10038572324814153
Full Hedge,17,0.10034138488520165
Full Hedge,18,0.10001834879490741
Full Hedge,19,0.09971675465315347
Constant 50% Hedge,0,0.04986774731551558
Constant 50% Hedge,1,0.050231446181787424
Constant 50% Hedge,2,0.05094577174178393
Constant 50% Hedge,3,0.049680498015901936
Constant 50% Hedge,4,0.049499174422170306
Constant 50% Hedge,5,0.04969083494217464
Constant 50% Hedge,6,0.0505860089796343
Constant 50% Hedge,7,0.050213500645955055
Constant 50% Hedge,8,0.04967330677707173
Constant 50% Hedge,9,0.05033036711278333
Constant 50% Hedge,10,0.05006715054053858
Constant 50% Hedge,11,0.05061995331367857
Constant 50% Hedge,12,0.04956559854926228
Constant 50% Hedge,13,0.049799945917119344
Constant 50% Hedge,14,0.04975952759245775
Constant 50% Hedge,15,0.04909236372928735
Constant 50% Hedge,16,0.050192861624070766
Constant 50% Hedge,17,0.05017069244260083
Constant 50% Hedge,18,0.050009174397453705
Constant 50% Hedge,19,0.04985837732657673
DRL_PPO,0,0.2480892964634219
DRL_PPO,1,0.11610139662462424
DRL_PPO,2,0.05094577174178393
DRL_PPO,3,0.1809182847998275
DRL_PPO,4,0.15722797197198113
DRL_PPO,5,0.04969083494217464
DRL_PPO,6,0.0505860089796343
DRL_PPO,7,0.050213500645955055
DRL_PPO,8,0.04967330677707173
DRL_PPO,9,0.2810723864889674
DRL_PPO,10,0.1581234645735611
DRL_PPO,11,0.05061995331367857
DRL_PPO,12,0.1821161856859949
DRL_PPO,13,0.049799945917119344
DRL_PPO,14,0.04975952759245775
DRL_PPO,15,0.24745593454604284
DRL_PPO,16,0.21588057924610649
DRL_PPO,17,0.05017069244260083
DRL_PPO,18,0.24731160487207313
DRL_PPO,19,0.24754133941899392
DRL_SAC,0,0.25603073569774554
DRL_SAC,1,0.22971314441805235
DRL_SAC,2,0.630258273936248
DRL_SAC,3,0.2516897262861889
DRL_SAC,4,0.6684020550223664
DRL_SAC,5,0.621985014832946
DRL_SAC,6,0.18886646770009707
DRL_SAC,7,0.5000646982867444
DRL_SAC,8,0.17684153898717103
DRL_SAC,9,0.23701601861341698
DRL_SAC,10,0.16671960623405818
DRL_SAC,11,0.6608629652431608
DRL_SAC,12,0.6512004006582528
DRL_SAC,13,0.1804165153913896
DRL_SAC,14,0.21027383792988044
DRL_SAC,15,0.5138839740125899
DRL_SAC,16,0.2502954258180252
DRL_SAC,17,0.5082055375153608
DRL_SAC,18,0.6113426997161008
DRL_SAC,19,0.23156901466915025
