Black-Scholes Delta,No Hedge,Full Hedge,Constant 50% Hedge,DRL_PPO,DRL_SAC,DRL_TD3
-5.029201398639401,-4.7657348621287525,0.1647698743378072,-2.3004824938954727,-12.639339152269912,-9.054209599103018,-9.284715761513652
-5.211828774472707,-5.033681226681992,-0.5633552559384327,-2.7985182413102123,-7.648415798246816,-3.0480437061792713,-5.190700183592867
-7.412406739268262,0.0,-8.58436961454592,-4.29218480727296,-2.4962134305002808,-4.313423423124559,-1.8322671202361804
-5.088690320404552,-10.240318183696033,0.5396429721643301,-4.850337605765851,-8.787097002393267,-2.952051458944723,-5.365393666069821
-5.124567293284272,0.0,-0.04209955521542952,-0.02104977760771476,-0.7546591363015054,-3.0379940116845727,0.7266235213385948
-5.664291071757495,0.0,-1.3703065718032832,-0.6851532859016416,-1.72563696387009,-2.1863412302734937,-1.0638468057340773
-6.458904808947608,0.0,-6.159601939573037,-3.0798009697865183,-2.9384472161705677,-3.43628514054103,-1.9350987839147828
-6.813772038190308,0.0,-2.4736485317585277,-1.2368242658792639,-2.043571894126708,-1.9751151537751799,-4.058318293953577
-4.880422739545716,0.0,-6.180809962254656,-3.090404981127328,-3.353054390600101,-4.208124862283556,-1.5136939696161946
-5.4903084963650315,-11.164060321926044,-0.7613949597922272,-5.962727640859136,-7.962783392288472,-7.887496661729642,-6.592089837586286
-5.490259491211986,0.0,-1.2290077134537825,-0.6145038567268912,-3.9451348865454228,-4.406535133901892,-3.637661629619899
-6.43414079200339,-3.2205363779610963,-1.3411465339844995,-2.280841455972798,-5.103902699940725,-12.67994642569721,-4.148803362589575
-4.860154818616394,-7.344743108953821,0.7696717043769183,-3.2875357022884515,-10.180923407036488,-7.990667024052485,-6.934133031090255
-4.720704386734926,0.0,-6.79012728664803,-3.395063643324015,-2.397707202580789,-1.7041856420495134,-1.9123580508950062
-5.507144418181342,0.0,-7.443956312828291,-3.7219781564141456,-3.2832643156539976,-3.8020102271370786,-5.389181437664758
-5.281593765048754,-9.407965981236686,1.717087813966728,-3.8454390836349788,-7.810134522064018,-4.340489310954553,-3.810415376554502
-5.667475471181163,-21.228358030268254,-0.4861089713896689,-10.857233500828961,-7.456625364862958,-6.276319632321446,-7.807589350184259
-6.153319927157284,-2.0092755000728317,-0.4417262700868463,-1.225500885079839,-4.254408302318097,-8.204907776015887,-2.4388303966472256
-5.556037994235645,0.0,-0.43651726529303403,-0.21825863264651701,-3.5589401674304706,-6.727668744523261,-1.2042911014178737
-4.500461361208153,-10.475003128614816,0.18352859219338313,-5.145737268210716,-6.313975553561747,-3.6666668815062877,-5.411796217537969
